date,title,content,source,keywords,url,scraped_at
2025/12/20,诈骗者通过“转账记录投毒攻击”获得5000万美元后，已迅速转移至Tornado Cash,"金色财经报道，据SlowMist监测，通过“转账记录投毒攻击”获得5000万美元USDT的诈骗者在收到资金后30分钟内开始转移。该诈骗者首先通过MetaMask Swap将5000万美元USDT兑换为DAI，随后将所有DAI兑换为16,690枚ETH，最终将全部资金存入混币服务Tornado Cash。 
此前消息，某用户遭“转账记录投毒攻击”损失约5000万美元。",Jinse,"攻击, 诈骗",https://www.jinse.cn/lives/492431.html,2025-12-20T08:59:41.376181+00:00
2025/12/20,布鲁克林法院对Coinbase客服诈骗案嫌疑人提起诉讼，涉案金额约1600万美元,BlockBeats 消息，12 月 20 日，布鲁克林法院对 Coinbase 客服诈骗案嫌疑人 Ronald Spektor 提起诉讼，涉案金额约 1600 万美元。该嫌疑人涉嫌通过网络钓鱼及社会工程学手段，冒充 Coinbase 客服从 Coinbase 约 100 名用户处盗取近 1600 万美元。 目前其面临 31 项指控，包括一级重大盗窃罪、一级洗钱罪、诈骗计划及其他相关罪名。警方在调查期间查获被告约 10.5 万美元现金及价值 40 万美元的加密货币，地区检察官办公室正追查更多涉嫌被盗的加密货币资产。,BlockBeats,"被盗, 盗窃, 洗钱, 诈骗",https://www.theblockbeats.info/flash/325191,2025-12-20T08:58:24.759876+00:00
2025/12/20,Nic Carter：量子计算距离破解比特币仅剩「工程性难题」，170万枚比特币面临被攻击风险,BlockBeats 消息，12 月 20 日，智能合约之父、Castle Island Ventures 联合创始人 Nic Carter 发布长文表示，著名量子理论家和学者斯科特·阿伦森（Scott Aaronson）研究显示， 量子计算距离破解比特币仅仅是一个「极其困难」的工程难题，而不是需要新的基础物理学发现。 Nic Carter 指出，理论上，比特币可以进行软分叉，并采用「后量子」（PQ）签名方案。目前确实存在一些抗量子加密签名方案。但主要问题在于如何确定具体的后量子方案、组织软分叉，以及如何费力地将数千万个拥有余额的地址全部迁移过去。因此， 比特币防范量子计算破解所需的缓解措施可能需要近十年时间。 此外，由于大量易受攻击的比特币都存放在废弃地址中，而这些地址的所有者根本无法被强制转移他们的比特币，因此即使比特币升级到后量子签名， 它仍然面临着 170 万枚比特币被量子攻击者突然窃取的风险。 比特币不仅需要以有序且及时的方式进行升级，而且 比特币持有者还必须集体同意扣押这 170 万枚比特币才能消除这种风险——这在比特币历史上是前所未有的。 由此， Nic Carter 敦促并呼吁比特币社区和开发者尽快采取缓解措施，而不是用冷漠和过分乐观的态度看待量子计算威胁。,BlockBeats,攻击,https://www.theblockbeats.info/flash/325194,2025-12-20T08:58:24.175184+00:00
2025/12/20,中国沈阳警方破获跨境非法换汇案，涉比特币、泰达币等虚拟货币「对敲」交易,BlockBeats 消息，12 月 20 日，据新华网报道，一条美方通报的中国籍人员佟某某涉嫌为毒贩洗钱线索引起了我国警方高度重视，为查明真相，公安部部署辽宁省公安厅开展核实工作并在湖北武汉将企图潜逃出境的佟某某、陈某某当场抓获，两人已于今年九月被判处有期徒刑并处罚金。 据悉，佟某某主要通过「对敲」方式通过境内银行卡实施非法买卖外汇金额合计 1600 余万元人民币， 并在部分业务中指使境内人员购买比特币、泰达币等虚拟货币并转售给境外人员以换取美元现金 。侦查工作中警方同时发现一些不法分子在大额现金存取、虚拟货币交易等方面规避美方监管，目前已通过中美反洗钱合作沟通渠道反馈美方并就在反洗钱领域加强执法合作达成共识。,BlockBeats,"执法, 监管, 洗钱",https://www.theblockbeats.info/flash/325199,2025-12-20T08:58:23.567866+00:00
2025/12/10,Vitalik：以太坊偶发“失去最终性”并不构成严重风险,金色财经报道，Vitalik Buterin 称以太坊偶发“失去最终性”并不构成严重风险，关键是避免“错误最终化”。此次由 Prysm 客户端漏洞引发的最终性延迟下，链仍可正常运行。以太坊专家 Fabrizio Romano Genovese 表示，最终性暂失时以太坊更类似比特币，其最终性为概率型；以太坊规则为：区块获超 66% 验证者投票即“Justified”，再过两轮 Epoch（64 区块）即“Finalized”。他指出该情况曾在 2023 年 5 月发生。Polygon 称跨链与 L2 相关转账将等待最终性，存款可能延迟，但不会回滚或消息失效。,Jinse,"比特币, 以太坊",https://www.jinse.cn/lives/490946.html,2025-12-10T14:20:51.881924+00:00
2025/12/10,精选何一：将向因微信被盗而亏损的用户空投BNB,金色财经报道，币安联合创始人Yi He微信账号于近日被盗，导致部分信任其朋友圈信息的用户购买某meme币而遭受损失。Yi He已宣布将个人拿出一定数量的BNB，对在账号被盗期间通过币安无私钥钱包及Alpha平台交易该meme币并产生亏损的用户进行补偿，空投将在24小时内完成。,Jinse,币安,https://www.jinse.cn/lives/490953.html,2025-12-10T14:20:49.194821+00:00
2025/12/10,何一：将向因微信被盗受影响用户追加BNB空投,BlockBeats 消息，12 月 10 日，Binance CEO 何一发文更新微信被盗事件称，「今天凌晨我不常用的微信被盗，一些看了朋友圈、微信信息的用户因为对我的信任盲目买入这个 meme coin 产生亏损，我觉得非常痛心，所以我个人将会拿出一些 BNB，给在我微信被盗时间段内使用 binance 无私钥钱包及 Alpha 平台交易该 meme coin 绝对亏损用户进行空投，空投将会在 24 小时内发放完毕。 我本人、官方账号和币安员工不会推荐任何 meme coin，这种内容并没有长期的生命力，代币也没有价格支撑，希望大家注意甄别网络信息，更希望大家能进行负责的投资行为，以后发生不会有类似的补贴发放哦。」,BlockBeats,"Binance, 币安, 价格, 代币",https://www.theblockbeats.info/flash/323859,2025-12-10T14:20:19.233423+00:00
2025/12/10,IoTeX受邀出席华盛顿政策峰会，高层对话SEC主席Paul Atkins,"BlockBeats 消息，12 月 10 日，IoTeX 团队以 Blockchain Association DePIN 工作组主席的身份，受邀出席华盛顿政策峰会。团队与多位重量级政策制定者深度对话，其中包括美国证券交易委员会 SEC 主席 Paul Atkins、参议员 Bill Harley、众议员 Haley Stevens 等。 本次峰会聚焦加密市场结构、稳定币以及现实世界资产（RWA）等核心议题。IoTeX 联合创始人 Jing 在与 SEC 主席 Atkins 的交流中提出，机器网络和人工智能正在开创新经济。DePIN 和 RWA 的链上代币化不仅能帮助美国开放资本准入、缓解 AI 革命中的能源短缺，还能让普通民众参与到新经济中，进而推动稳定币的大规模应用。针对加密资产监管，SEC 主席 Atkins 释放积极信号，他表示包括 DePIN 网络和数字工具在内的绝大多数 Tokens 都不会被归为证券, ICO 募资有望在美国重启。Atkins 进一步透露，SEC 明年将推进代币分类与创新豁免机制，以提供更清晰的监管路径。 当前全球监管框架加速形成，IoTeX 深入参与政府高层对话，致力于推动基于技术创新的合规进程，助力美国在去中心化基础设施与 AI 领域的数字货币进展保持引领地位。",BlockBeats,"监管, 合规",https://www.theblockbeats.info/flash/323779,2025-12-10T06:23:47.15805+00:00
2025/12/09,USDT获阿布扎比监管认定为「法币参考代币」,BlockBeats 消息，12 月 9 日，据 Cointelegraph 报道，Tether 发行的 USDT 在阿布扎比全球市场（ADGM）获得「法币参考代币」资格认证，意味着获许可机构可在受监管框架内开展涉及 USDT 的交易、托管等服务。该资格是 USDt 在阿布扎比监管体系中的关键进展，将进一步扩大其在跨境结算、机构托管与支付场景中的应用空间。,BlockBeats,监管,https://www.theblockbeats.info/flash/323550,2025-12-10T03:27:54.302061+00:00
2025/12/09,加拿大税务局称40%加密用户存在逃税风险,BlockBeats 消息，12 月 9 日，加拿大税务局（CRA）表示，约 40% 使用加密平台的纳税人存在逃税或高风险不合规行为。CRA 在一封电邮声明中称，其加密资产审计团队共有 35 名审计员，正处理逾 230 个相关案件，过去三年已通过审计「追回超过 1 亿加元税款」。 CRA 承认，加拿大现行法律在识别加密资产用户方面存在明显局限，监管机构「无法可靠识别加密用户并评估其纳税合规性」。因此，CRA 多次试图要求平台披露用户数据，其中包括向 Dapper Labs 索取其排名前 1.8 万名用户的数据，但最终在律师与官员的协商下，仅获得 2500 名用户资料。,BlockBeats,"监管, 合规",https://www.theblockbeats.info/flash/323561,2025-12-10T03:27:53.189662+00:00
